,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season
0,Red Auerbach,BOS,13,17,80,58,22,952,620,332,1177,763,414,0.648,13.0,8.0,5.0,109.0,63.0,46.0,129.0,72.0,57.0,1962
1,Jack McMahon,CHZ,1,1,38,12,26,38,12,26,38,12,26,0.316,,,,,,,,,,1962
2,Slick Leonard,CHZ,1,1,42,13,29,42,13,29,42,13,29,0.31,,,,,,,,,,1962
3,Charles Wolf,CIN,3,3,80,42,38,239,118,121,239,118,121,0.494,12.0,6.0,6.0,16.0,7.0,9.0,16.0,7.0,9.0,1962
4,Dick McGuire,DET,4,4,80,34,46,280,122,158,280,122,158,0.436,4.0,1.0,3.0,21.0,8.0,13.0,21.0,8.0,13.0,1962
5,Fred Schaus,LAL,3,3,80,53,27,239,143,96,239,143,96,0.598,13.0,6.0,7.0,38.0,19.0,19.0,38.0,19.0,19.0,1962
6,Eddie Donovan,NYK,2,2,80,21,59,160,50,110,160,50,110,0.313,,,,,,,,,,1962
7,Bob Feerick,SFW,1,2,80,31,49,80,31,49,148,63,85,0.426,,,,,,,2.0,0.0,2.0,1962
8,Harry Gallatin,STL,1,1,80,48,32,80,48,32,80,48,32,0.6,11.0,6.0,5.0,11.0,6.0,5.0,11.0,6.0,5.0,1962
9,Alex Hannum,SYR,3,5,80,48,32,239,127,112,342,183,159,0.535,5.0,2.0,3.0,18.0,8.0,10.0,39.0,22.0,17.0,1962
10,Richie Guerin,ATL,7,7,82,36,46,536,291,245,536,291,245,0.5429999999999999,5.0,1.0,4.0,54.0,24.0,30.0,54.0,24.0,30.0,1970
11,Gene Shue,BAL,5,5,82,42,40,384,201,183,384,201,183,0.523,18.0,8.0,10.0,29.0,11.0,18.0,29.0,11.0,18.0,1970
12,Tom Heinsohn,BOS,2,2,82,44,38,164,78,86,164,78,86,0.47600000000000003,,,,,,,,,,1970
13,Dolph Schayes,BUF,1,4,82,22,60,82,22,60,322,151,171,0.469,,,,,,,21.0,9.0,12.0,1970
14,Dick Motta,CHI,3,3,82,51,31,246,123,123,246,123,123,0.5,7.0,3.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,1970
15,Bob Cousy,CIN,2,2,82,33,49,164,69,95,164,69,95,0.42100000000000004,,,,,,,,,,1970
16,Bill Fitch,CLE,1,1,82,15,67,82,15,67,82,15,67,0.183,,,,,,,,,,1970
17,Butch van Breda Kolff,DET,2,4,82,45,37,164,76,88,328,183,145,0.5579999999999999,,,,,,,33.0,21.0,12.0,1970
18,Joe Mullaney,LAL,2,2,82,48,34,164,94,70,164,94,70,0.573,12.0,5.0,7.0,30.0,16.0,14.0,30.0,16.0,14.0,1970
19,Larry Costello,MIL,3,3,82,66,16,246,149,97,246,149,97,0.606,14.0,12.0,2.0,24.0,17.0,7.0,24.0,17.0,7.0,1970
20,Red Holzman,NYK,4,8,82,52,30,290,194,96,493,277,216,0.562,12.0,7.0,5.0,47.0,27.0,20.0,55.0,31.0,24.0,1970
21,Jack Ramsay,PHI,3,3,82,47,35,246,144,102,246,144,102,0.585,7.0,3.0,4.0,17.0,5.0,12.0,17.0,5.0,12.0,1970
22,Cotton Fitzsimmons,PHO,1,1,82,48,34,82,48,34,82,48,34,0.585,,,,,,,,,,1970
23,Rolland Todd,POR,1,1,82,29,53,82,29,53,82,29,53,0.354,,,,,,,,,,1970
24,Alex Hannum,SDR,2,13,82,40,42,138,58,80,961,531,430,0.5529999999999999,,,,,,,95.0,57.0,38.0,1970
25,Lenny Wilkens,SEA,2,2,82,38,44,164,74,90,164,74,90,0.451,,,,,,,,,,1970
26,Al Attles,SFW,2,2,82,41,41,112,49,63,112,49,63,0.43799999999999994,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1970
27,Lon Kruger,ATL,3,3,27,11,16,191,69,122,191,69,122,0.361,,,,,,,,,,2002
28,Terry Stotts,ATL,1,1,55,24,31,55,24,31,55,24,31,0.436,,,,,,,,,,2002
29,Jim O'Brien,BOS,3,3,82,44,38,212,117,95,212,117,95,0.552,10.0,4.0,6.0,26.0,13.0,13.0,26.0,13.0,13.0,2002
30,Bill Cartwright,CHI,2,2,82,30,52,137,47,90,137,47,90,0.34299999999999997,,,,,,,,,,2002
31,John Lucas,CLE,2,6,42,8,34,124,37,87,431,173,258,0.401,,,,,,,14.0,6.0,8.0,2002
32,Keith Smart,CLE,1,1,40,9,31,40,9,31,40,9,31,0.225,,,,,,,,,,2002
33,Don Nelson,DAL,6,25,82,60,22,444,245,199,1924,1096,828,0.57,20.0,10.0,10.0,38.0,18.0,20.0,150.0,69.0,81.0,2002
34,Jeff Bzdelik,DEN,1,1,82,17,65,82,17,65,82,17,65,0.207,,,,,,,,,,2002
35,Rick Carlisle,DET,2,2,82,50,32,164,100,64,164,100,64,0.61,17.0,8.0,9.0,27.0,12.0,15.0,27.0,12.0,15.0,2002
36,Eric Musselman,GSW,1,1,82,38,44,82,38,44,82,38,44,0.46299999999999997,,,,,,,,,,2002
37,Rudy Tomjanovich,HOU,12,12,82,43,39,900,503,397,900,503,397,0.5589999999999999,,,,90.0,51.0,39.0,90.0,51.0,39.0,2002
38,Isiah Thomas,IND,3,3,82,48,34,246,131,115,246,131,115,0.5329999999999999,6.0,2.0,4.0,15.0,5.0,10.0,15.0,5.0,10.0,2002
39,Alvin Gentry,LAC,3,7,58,19,39,222,89,133,403,177,226,0.439,,,,,,,5.0,2.0,3.0,2002
40,Dennis Johnson,LAC,1,1,24,8,16,24,8,16,24,8,16,0.33299999999999996,,,,,,,,,,2002
41,Phil Jackson,LAL,4,13,82,50,32,328,231,97,1066,776,290,0.728,12.0,6.0,6.0,70.0,51.0,19.0,222.0,162.0,60.0,2002
42,Sidney Lowe,MEM,3,5,8,0,8,172,46,126,307,79,228,0.257,,,,,,,,,,2002
43,Hubie Brown,MEM,1,13,74,28,46,74,28,46,993,473,520,0.47600000000000003,,,,,,,59.0,31.0,28.0,2002
44,Pat Riley,MIA,8,21,82,25,57,624,354,270,1679,1110,569,0.6609999999999999,,,,43.0,18.0,25.0,255.0,155.0,100.0,2002
45,George Karl,MIL,5,16,82,42,40,378,205,173,1207,708,499,0.5870000000000001,6.0,2.0,4.0,32.0,14.0,18.0,126.0,59.0,67.0,2002
46,Flip Saunders,MIN,8,8,82,51,31,604,328,276,604,328,276,0.5429999999999999,6.0,2.0,4.0,29.0,7.0,22.0,29.0,7.0,22.0,2002
47,Byron Scott,NJN,3,3,82,49,33,246,127,119,246,127,119,0.516,20.0,14.0,6.0,40.0,25.0,15.0,40.0,25.0,15.0,2002
48,Paul Silas,NOH,1,8,82,47,35,82,47,35,609,286,323,0.47,6.0,2.0,4.0,6.0,2.0,4.0,29.0,13.0,16.0,2002
49,Don Chaney,NYK,2,11,82,37,45,145,57,88,792,322,470,0.40700000000000003,,,,,,,11.0,2.0,9.0,2002
50,Doc Rivers,ORL,4,4,82,42,40,328,170,158,328,170,158,0.518,7.0,3.0,4.0,15.0,5.0,10.0,15.0,5.0,10.0,2002
51,Larry Brown,PHI,6,24,82,48,34,460,255,205,1900,1108,792,0.583,12.0,6.0,6.0,58.0,28.0,30.0,183.0,89.0,94.0,2002
52,Frank Johnson,PHO,2,2,82,44,38,113,55,58,113,55,58,0.48700000000000004,6.0,2.0,4.0,6.0,2.0,4.0,6.0,2.0,4.0,2002
53,Maurice Cheeks,POR,2,2,82,50,32,164,99,65,164,99,65,0.604,7.0,3.0,4.0,10.0,3.0,7.0,10.0,3.0,7.0,2002
54,Rick Adelman,SAC,5,13,82,59,23,378,246,132,987,603,384,0.611,12.0,7.0,5.0,46.0,24.0,22.0,115.0,60.0,55.0,2002
55,Gregg Popovich,SAS,7,7,82,60,22,524,339,185,524,339,185,0.647,24.0,16.0,8.0,77.0,47.0,30.0,77.0,47.0,30.0,2002
56,Nate McMillan,SEA,3,3,82,40,42,231,123,108,231,123,108,0.532,,,,5.0,2.0,3.0,5.0,2.0,3.0,2002
57,Lenny Wilkens,TOR,3,30,82,24,58,246,113,133,2406,1292,1114,0.537,,,,17.0,8.0,9.0,174.0,80.0,94.0,2002
58,Jerry Sloan,UTA,15,18,82,47,35,1181,781,400,1396,875,521,0.627,5.0,1.0,4.0,152.0,76.0,76.0,158.0,78.0,80.0,2002
59,Doug Collins,WAS,2,8,82,37,45,164,74,90,619,332,287,0.536,,,,,,,38.0,15.0,23.0,2002
60,Lenny Wilkens,ATL,1,21,82,57,25,82,57,25,1700,926,774,0.545,11.0,5.0,6.0,11.0,5.0,6.0,121.0,60.0,61.0,1993
61,Chris Ford,BOS,4,4,82,32,50,328,187,141,328,187,141,0.57,,,,25.0,12.0,13.0,25.0,12.0,13.0,1993
62,Allan Bristow,CHH,3,3,82,41,41,246,116,130,246,116,130,0.47200000000000003,,,,9.0,4.0,5.0,9.0,4.0,5.0,1993
63,Phil Jackson,CHI,5,5,82,55,27,410,295,115,410,295,115,0.72,10.0,6.0,4.0,84.0,61.0,23.0,84.0,61.0,23.0,1993
64,Mike Fratello,CLE,1,9,82,47,35,82,47,35,659,371,288,0.563,3.0,0.0,3.0,3.0,0.0,3.0,43.0,18.0,25.0,1993
65,Quinn Buckner,DAL,1,1,82,13,69,82,13,69,82,13,69,0.159,,,,,,,,,,1993
66,Dan Issel,DEN,2,2,82,42,40,164,78,86,164,78,86,0.47600000000000003,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,1993
67,Don Chaney,DET,1,8,82,20,62,82,20,62,565,237,328,0.419,,,,,,,11.0,2.0,9.0,1993
68,Don Nelson,GSW,6,17,82,50,32,492,263,229,1376,803,573,0.584,3.0,0.0,3.0,24.0,9.0,15.0,112.0,51.0,61.0,1993
69,Rudy Tomjanovich,HOU,3,3,82,58,24,194,129,65,194,129,65,0.665,23.0,15.0,8.0,35.0,21.0,14.0,35.0,21.0,14.0,1993
70,Larry Brown,IND,1,15,82,47,35,82,47,35,1194,710,484,0.595,16.0,10.0,6.0,16.0,10.0,6.0,103.0,49.0,54.0,1993
71,Bob Weiss,LAC,1,6,82,27,55,82,27,55,492,210,282,0.42700000000000005,,,,,,,11.0,2.0,9.0,1993
72,Randy Pfund,LAL,2,2,64,27,37,146,66,80,146,66,80,0.452,,,,5.0,2.0,3.0,5.0,2.0,3.0,1993
73,Bill Bertka,LAL,1,1,2,1,1,2,1,1,2,1,1,0.5,,,,,,,,,,1993
