,Unnamed: 0,Coach,Team,numSznsWTeam,numTotSzns,curr_games,curr_wins,curr_losses,franch_games,franch_wins,franch_losses,tot_games,tot_wins,tot_losses,win_percent,curr_pl_games,curr_pl_wins,curr_pl_losses,franch_pl_games,franch_pl_wins,franch_pl_losses,tot_pl_games,tot_pl_wins,tot_pl_losses,Season,pl_win_percent,Seasons
0,0,Red Auerbach,BOS,13,17,80,58,22,952,620,332,1177,763,414,0.648,13.0,8.0,5.0,109.0,63.0,46.0,129.0,72.0,57.0,1962,0.6153846153846154,1959-69
1,1,Jack McMahon,WAS,1,1,38,12,26,38,12,26,38,12,26,0.316,,,,,,,,,,1962,,1959-69
9,9,Alex Hannum,PHI,3,5,80,48,32,239,127,112,342,183,159,0.535,5.0,2.0,3.0,18.0,8.0,10.0,39.0,22.0,17.0,1962,0.4,1959-69
10,10,Richie Guerin,ATL,7,7,82,36,46,536,291,245,536,291,245,0.5429999999999999,5.0,1.0,4.0,54.0,24.0,30.0,54.0,24.0,30.0,1970,0.2,1969-1979
11,11,Gene Shue,WAS,5,5,82,42,40,384,201,183,384,201,183,0.523,18.0,8.0,10.0,29.0,11.0,18.0,29.0,11.0,18.0,1970,0.4444444444444444,1969-1979
12,12,Tom Heinsohn,BOS,2,2,82,44,38,164,78,86,164,78,86,0.476,,,,,,,,,,1970,,1969-1979
14,14,Dick Motta,CHI,3,3,82,51,31,246,123,123,246,123,123,0.5,7.0,3.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0,1970,0.42857142857142855,1969-1979
16,16,Bill Fitch,CLE,1,1,82,15,67,82,15,67,82,15,67,0.183,,,,,,,,,,1970,,1969-1979
17,17,Butch van Breda Kolff,DET,2,4,82,45,37,164,76,88,328,183,145,0.5579999999999999,,,,,,,33.0,21.0,12.0,1970,,1969-1979
19,19,Larry Costello,MIL,3,3,82,66,16,246,149,97,246,149,97,0.606,14.0,12.0,2.0,24.0,17.0,7.0,24.0,17.0,7.0,1970,0.8571428571428571,1969-1979
20,20,Red Holzman,NYK,4,8,82,52,30,290,194,96,493,277,216,0.562,12.0,7.0,5.0,47.0,27.0,20.0,55.0,31.0,24.0,1970,0.5833333333333334,1969-1979
21,21,Jack Ramsay,PHI,3,3,82,47,35,246,144,102,246,144,102,0.585,7.0,3.0,4.0,17.0,5.0,12.0,17.0,5.0,12.0,1970,0.42857142857142855,1969-1979
22,22,Cotton Fitzsimmons,PHO,1,1,82,48,34,82,48,34,82,48,34,0.585,,,,,,,,,,1970,,1969-1979
24,24,Alex Hannum,HOU,2,13,82,40,42,138,58,80,961,531,430,0.5529999999999999,,,,,,,95.0,57.0,38.0,1970,,1969-1979
25,25,Lenny Wilkens,OKC,2,2,82,38,44,164,74,90,164,74,90,0.451,,,,,,,,,,1970,,1969-1979
26,26,Al Attles,GSW,2,2,82,41,41,112,49,63,112,49,63,0.438,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1970,0.2,1969-1979
28,28,Terry Stotts,ATL,1,1,55,24,31,55,24,31,55,24,31,0.436,,,,,,,,,,2002,,1998-2008
29,29,Jim O'Brien,BOS,3,3,82,44,38,212,117,95,212,117,95,0.552,10.0,4.0,6.0,26.0,13.0,13.0,26.0,13.0,13.0,2002,0.4,1998-2008
33,33,Don Nelson,DAL,6,25,82,60,22,444,245,199,1924,1096,828,0.57,20.0,10.0,10.0,38.0,18.0,20.0,150.0,69.0,81.0,2002,0.5,1998-2008
35,35,Rick Carlisle,DET,2,2,82,50,32,164,100,64,164,100,64,0.61,17.0,8.0,9.0,27.0,12.0,15.0,27.0,12.0,15.0,2002,0.47058823529411764,1998-2008
37,37,Rudy Tomjanovich,HOU,12,12,82,43,39,900,503,397,900,503,397,0.5589999999999999,,,,90.0,51.0,39.0,90.0,51.0,39.0,2002,,1998-2008
39,39,Alvin Gentry,LAC,3,7,58,19,39,222,89,133,403,177,226,0.439,,,,,,,5.0,2.0,3.0,2002,,1998-2008
41,41,Phil Jackson,LAL,4,13,82,50,32,328,231,97,1066,776,290,0.728,12.0,6.0,6.0,70.0,51.0,19.0,222.0,162.0,60.0,2002,0.5,1998-2008
43,43,Hubie Brown,MEM,1,13,74,28,46,74,28,46,993,473,520,0.476,,,,,,,59.0,31.0,28.0,2002,,1998-2008
44,44,Pat Riley,MIA,8,21,82,25,57,624,354,270,1679,1110,569,0.6609999999999999,,,,43.0,18.0,25.0,255.0,155.0,100.0,2002,,1998-2008
45,45,George Karl,MIL,5,16,82,42,40,378,205,173,1207,708,499,0.5870000000000001,6.0,2.0,4.0,32.0,14.0,18.0,126.0,59.0,67.0,2002,0.3333333333333333,1998-2008
46,46,Flip Saunders,MIN,8,8,82,51,31,604,328,276,604,328,276,0.5429999999999999,6.0,2.0,4.0,29.0,7.0,22.0,29.0,7.0,22.0,2002,0.3333333333333333,1998-2008
47,47,Byron Scott,BRK,3,3,82,49,33,246,127,119,246,127,119,0.516,20.0,14.0,6.0,40.0,25.0,15.0,40.0,25.0,15.0,2002,0.7,1998-2008
48,48,Paul Silas,NOP,1,8,82,47,35,82,47,35,609,286,323,0.47,6.0,2.0,4.0,6.0,2.0,4.0,29.0,13.0,16.0,2002,0.3333333333333333,1998-2008
49,49,Don Chaney,NYK,2,11,82,37,45,145,57,88,792,322,470,0.407,,,,,,,11.0,2.0,9.0,2002,,1998-2008
50,50,Doc Rivers,ORL,4,4,82,42,40,328,170,158,328,170,158,0.518,7.0,3.0,4.0,15.0,5.0,10.0,15.0,5.0,10.0,2002,0.42857142857142855,1998-2008
51,51,Larry Brown,PHI,6,24,82,48,34,460,255,205,1900,1108,792,0.583,12.0,6.0,6.0,58.0,28.0,30.0,183.0,89.0,94.0,2002,0.5,1998-2008
53,53,Maurice Cheeks,POR,2,2,82,50,32,164,99,65,164,99,65,0.604,7.0,3.0,4.0,10.0,3.0,7.0,10.0,3.0,7.0,2002,0.42857142857142855,1998-2008
54,54,Rick Adelman,SAC,5,13,82,59,23,378,246,132,987,603,384,0.611,12.0,7.0,5.0,46.0,24.0,22.0,115.0,60.0,55.0,2002,0.5833333333333334,1998-2008
55,55,Gregg Popovich,SAS,7,7,82,60,22,524,339,185,524,339,185,0.647,24.0,16.0,8.0,77.0,47.0,30.0,77.0,47.0,30.0,2002,0.6666666666666666,1998-2008
56,56,Nate McMillan,OKC,3,3,82,40,42,231,123,108,231,123,108,0.532,,,,5.0,2.0,3.0,5.0,2.0,3.0,2002,,1998-2008
57,57,Lenny Wilkens,TOR,3,30,82,24,58,246,113,133,2406,1292,1114,0.537,,,,17.0,8.0,9.0,174.0,80.0,94.0,2002,,1998-2008
58,58,Jerry Sloan,UTA,15,18,82,47,35,1181,781,400,1396,875,521,0.627,5.0,1.0,4.0,152.0,76.0,76.0,158.0,78.0,80.0,2002,0.2,1998-2008
59,59,Doug Collins,WAS,2,8,82,37,45,164,74,90,619,332,287,0.536,,,,,,,38.0,15.0,23.0,2002,,1998-2008
60,60,Lenny Wilkens,ATL,1,21,82,57,25,82,57,25,1700,926,774,0.545,11.0,5.0,6.0,11.0,5.0,6.0,121.0,60.0,61.0,1993,0.45454545454545453,1988-1998
61,61,Chris Ford,BOS,4,4,82,32,50,328,187,141,328,187,141,0.57,,,,25.0,12.0,13.0,25.0,12.0,13.0,1993,,1988-1998
63,63,Phil Jackson,CHI,5,5,82,55,27,410,295,115,410,295,115,0.72,10.0,6.0,4.0,84.0,61.0,23.0,84.0,61.0,23.0,1993,0.6,1988-1998
64,64,Mike Fratello,CLE,1,9,82,47,35,82,47,35,659,371,288,0.563,3.0,0.0,3.0,3.0,0.0,3.0,43.0,18.0,25.0,1993,0.0,1988-1998
67,67,Don Chaney,DET,1,8,82,20,62,82,20,62,565,237,328,0.419,,,,,,,11.0,2.0,9.0,1993,,1988-1998
68,68,Don Nelson,GSW,6,17,82,50,32,492,263,229,1376,803,573,0.584,3.0,0.0,3.0,24.0,9.0,15.0,112.0,51.0,61.0,1993,0.0,1988-1998
69,69,Rudy Tomjanovich,HOU,3,3,82,58,24,194,129,65,194,129,65,0.665,23.0,15.0,8.0,35.0,21.0,14.0,35.0,21.0,14.0,1993,0.6521739130434783,1988-1998
70,70,Larry Brown,IND,1,15,82,47,35,82,47,35,1194,710,484,0.595,16.0,10.0,6.0,16.0,10.0,6.0,103.0,49.0,54.0,1993,0.625,1988-1998
75,75,Kevin Loughery,MIA,3,19,82,42,40,246,116,130,1342,625,717,0.466,5.0,2.0,3.0,8.0,2.0,6.0,59.0,27.0,32.0,1993,0.4,1988-1998
76,76,Mike Dunleavy,MIL,2,4,82,20,62,164,48,116,328,149,179,0.454,,,,,,,23.0,13.0,10.0,1993,,1988-1998
78,78,Chuck Daly,BRK,2,12,82,45,37,164,88,76,943,564,379,0.598,4.0,1.0,3.0,9.0,3.0,6.0,122.0,74.0,48.0,1993,0.25,1988-1998
79,79,Pat Riley,NYK,3,12,82,57,25,246,168,78,973,701,272,0.72,25.0,14.0,11.0,52.0,29.0,23.0,201.0,131.0,70.0,1993,0.56,1988-1998
80,80,Brian Hill,ORL,1,1,82,50,32,82,50,32,82,50,32,0.61,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1993,0.0,1988-1998
82,82,Paul Westphal,PHO,2,2,82,56,26,164,118,46,164,118,46,0.72,10.0,6.0,4.0,34.0,19.0,15.0,34.0,19.0,15.0,1993,0.6,1988-1998
83,83,Rick Adelman,POR,6,6,82,47,35,445,291,154,445,291,154,0.654,4.0,1.0,3.0,69.0,36.0,33.0,69.0,36.0,33.0,1993,0.25,1988-1998
86,86,George Karl,OKC,3,7,82,63,19,206,145,61,501,264,237,0.527,5.0,2.0,3.0,33.0,16.0,17.0,47.0,21.0,26.0,1993,0.4,1988-1998
87,87,Jerry Sloan,UTA,6,9,82,53,29,475,304,171,690,398,292,0.5770000000000001,16.0,8.0,8.0,54.0,25.0,29.0,60.0,27.0,33.0,1993,0.5,1988-1998
89,89,Lenny Wilkens,ATL,6,26,50,31,19,460,282,178,2078,1151,927,0.5539999999999999,9.0,3.0,6.0,47.0,17.0,30.0,157.0,72.0,85.0,1998,0.3333333333333333,1988-1998
92,92,Paul Silas,NOP,1,4,35,22,13,35,22,13,281,100,181,0.35600000000000004,,,,,,,,,,1998,,1988-1998
94,94,Mike Fratello,CLE,6,14,50,22,28,460,248,212,1037,572,465,0.552,,,,14.0,2.0,12.0,54.0,20.0,34.0,1998,,1988-1998
95,95,Don Nelson,DAL,2,21,50,19,31,116,35,81,1596,886,710,0.555,,,,,,,112.0,51.0,61.0,1998,,1988-1998
96,96,Mike D'Antoni,DEN,1,1,50,14,36,50,14,36,50,14,36,0.28,,,,,,,,,,1998,,1988-1998
97,97,Alvin Gentry,DET,2,3,50,29,21,87,45,42,123,60,63,0.488,5.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,1998,0.4,1988-1998
98,98,P.J. Carlesimo,GSW,2,5,50,21,29,132,40,92,378,177,201,0.468,,,,,,,12.0,3.0,9.0,1998,,1988-1998
99,99,Rudy Tomjanovich,HOU,8,8,50,31,19,572,353,219,572,353,219,0.617,4.0,1.0,3.0,90.0,51.0,39.0,90.0,51.0,39.0,1998,0.25,1988-1998
101,101,Chris Ford,LAC,1,8,50,9,41,50,9,41,624,300,324,0.481,,,,,,,29.0,13.0,16.0,1998,,1988-1998
102,102,Del Harris,LAL,5,14,12,6,6,340,224,116,1013,556,457,0.5489999999999999,,,,36.0,17.0,19.0,88.0,38.0,50.0,1998,,1988-1998
105,105,Pat Riley,MIA,4,17,50,33,17,296,191,105,1351,947,404,0.701,5.0,2.0,3.0,30.0,12.0,18.0,242.0,149.0,93.0,1998,0.4,1988-1998
106,106,George Karl,MIL,1,12,50,28,22,50,28,22,879,531,348,0.604,3.0,0.0,3.0,3.0,0.0,3.0,97.0,45.0,52.0,1998,0.0,1988-1998
107,107,Flip Saunders,MIN,4,4,50,25,25,276,130,146,276,130,146,0.471,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1998,0.25,1988-1998
110,110,Jeff Van Gundy,NYK,4,4,50,27,23,237,140,97,237,140,97,0.591,20.0,12.0,8.0,48.0,26.0,22.0,48.0,26.0,22.0,1998,0.6,1988-1998
111,111,Chuck Daly,ORL,2,14,50,33,17,132,74,58,1075,638,437,0.593,4.0,1.0,3.0,4.0,1.0,3.0,126.0,75.0,51.0,1998,0.25,1988-1998
112,112,Larry Brown,PHI,2,20,50,28,22,132,59,73,1572,912,660,0.58,8.0,3.0,5.0,8.0,3.0,5.0,133.0,64.0,69.0,1998,0.375,1988-1998
114,114,Mike Dunleavy,POR,2,8,50,35,15,132,81,51,624,289,335,0.463,13.0,7.0,6.0,17.0,8.0,9.0,40.0,21.0,19.0,1998,0.5384615384615384,1988-1998
115,115,Rick Adelman,SAC,1,9,50,27,23,50,27,23,659,384,275,0.583,5.0,2.0,3.0,5.0,2.0,3.0,74.0,38.0,36.0,1998,0.4,1988-1998
116,116,Gregg Popovich,SAS,3,3,50,37,13,196,110,86,196,110,86,0.561,17.0,15.0,2.0,26.0,19.0,7.0,26.0,19.0,7.0,1998,0.8823529411764706,1988-1998
117,117,Paul Westphal,OKC,1,5,50,25,25,50,25,25,329,216,113,0.657,,,,,,,44.0,25.0,19.0,1998,,1988-1998
119,119,Jerry Sloan,UTA,11,14,50,37,13,853,582,271,1068,676,392,0.633,11.0,5.0,6.0,128.0,68.0,60.0,134.0,70.0,64.0,1998,0.45454545454545453,1988-1998
120,120,Brian Hill,MEM,2,6,50,8,42,132,27,105,427,218,209,0.511,,,,,,,36.0,18.0,18.0,1998,,1988-1998
121,121,Bernie Bickerstaff,WAS,3,10,32,13,19,149,77,72,686,338,348,0.493,,,,3.0,0.0,3.0,33.0,12.0,21.0,1998,,1988-1998
131,131,Rick Carlisle,DAL,11,17,82,33,49,886,470,416,1378,751,627,0.545,,,,58.0,28.0,30.0,120.0,58.0,62.0,2018,,2008-2018
133,133,Dwane Casey,DET,1,10,82,41,41,82,41,41,762,414,348,0.5429999999999999,4.0,0.0,4.0,4.0,0.0,4.0,55.0,21.0,34.0,2018,0.0,2008-2018
135,135,Mike D'Antoni,HOU,3,15,82,53,29,246,173,73,1127,628,499,0.557,11.0,6.0,5.0,39.0,23.0,16.0,98.0,49.0,49.0,2018,0.5454545454545454,2008-2018
136,136,Nate McMillan,IND,3,15,82,48,34,246,138,108,1176,616,560,0.524,4.0,0.0,4.0,15.0,3.0,12.0,49.0,17.0,32.0,2018,0.0,2008-2018
137,137,Doc Rivers,LAC,6,20,82,48,34,492,307,185,1552,894,658,0.5760000000000001,6.0,2.0,4.0,46.0,20.0,26.0,167.0,84.0,83.0,2018,0.3333333333333333,2008-2018
140,140,Erik Spoelstra,MIA,11,11,82,39,43,886,523,363,886,523,363,0.59,,,,118.0,71.0,47.0,118.0,71.0,47.0,2018,,2008-2018
142,142,Tom Thibodeau,MIN,3,8,40,19,21,204,97,107,598,352,246,0.589,,,,5.0,1.0,4.0,56.0,24.0,32.0,2018,,2008-2018
144,144,Alvin Gentry,NOP,4,16,82,33,49,328,145,183,1033,480,553,0.465,,,,9.0,5.0,4.0,30.0,17.0,13.0,2018,,2008-2018
150,150,Terry Stotts,POR,7,11,82,53,29,574,325,249,857,440,417,0.513,16.0,8.0,8.0,51.0,19.0,32.0,56.0,20.0,36.0,2018,0.5,2008-2018
152,152,Gregg Popovich,SAS,23,23,82,48,34,1820,1245,575,1820,1245,575,0.684,7.0,3.0,4.0,284.0,170.0,114.0,284.0,170.0,114.0,2018,0.42857142857142855,2008-2018
155,155,Scott Brooks,WAS,3,10,82,32,50,246,124,122,791,462,329,0.584,,,,19.0,9.0,10.0,92.0,48.0,44.0,2018,,2008-2018
156,156,Lenny Wilkens,ATL,5,25,82,50,32,410,251,159,2028,1120,908,0.552,4.0,1.0,3.0,38.0,14.0,24.0,148.0,69.0,79.0,1997,0.25,1988-1998
159,159,Phil Jackson,CHI,9,9,82,62,20,738,545,193,738,545,193,0.738,21.0,15.0,6.0,152.0,111.0,41.0,152.0,111.0,41.0,1997,0.7142857142857143,1988-1998
160,160,Mike Fratello,CLE,5,13,82,47,35,410,226,184,987,550,437,0.557,4.0,1.0,3.0,14.0,2.0,12.0,54.0,20.0,34.0,1997,0.25,1988-1998
162,162,Don Nelson,DAL,1,20,66,16,50,66,16,50,1546,867,679,0.561,,,,,,,112.0,51.0,61.0,1997,,1988-1998
164,164,Doug Collins,DET,3,6,45,21,24,209,121,88,455,258,197,0.5670000000000001,,,,8.0,2.0,6.0,38.0,15.0,23.0,1997,,1988-1998
165,165,Alvin Gentry,DET,1,2,37,16,21,37,16,21,73,31,42,0.425,,,,,,,,,,1997,,1988-1998
166,166,P.J. Carlesimo,GSW,1,4,82,19,63,82,19,63,328,156,172,0.476,,,,,,,12.0,3.0,9.0,1997,,1988-1998
167,167,Rudy Tomjanovich,HOU,7,7,82,41,41,522,322,200,522,322,200,0.617,5.0,2.0,3.0,86.0,50.0,36.0,86.0,50.0,36.0,1997,0.4,1988-1998
169,169,Bill Fitch,LAC,4,25,82,17,65,328,99,229,2050,944,1106,0.46,,,,3.0,0.0,3.0,109.0,55.0,54.0,1997,,1988-1998
170,170,Del Harris,LAL,4,13,82,61,21,328,218,110,1001,550,451,0.5489999999999999,13.0,7.0,6.0,36.0,17.0,19.0,88.0,38.0,50.0,1997,0.5384615384615384,1988-1998
171,171,Pat Riley,MIA,3,16,82,55,27,246,158,88,1301,914,387,0.703,5.0,2.0,3.0,25.0,10.0,15.0,237.0,147.0,90.0,1997,0.4,1988-1998
172,172,Chris Ford,MIL,2,7,82,36,46,164,69,95,574,291,283,0.507,,,,,,,29.0,13.0,16.0,1997,,1988-1998
173,173,Flip Saunders,MIN,3,3,82,45,37,226,105,121,226,105,121,0.465,5.0,2.0,3.0,8.0,2.0,6.0,8.0,2.0,6.0,1997,0.4,1988-1998
175,175,Jeff Van Gundy,NYK,3,3,82,43,39,187,113,74,187,113,74,0.604,10.0,4.0,6.0,28.0,14.0,14.0,28.0,14.0,14.0,1997,0.4,1988-1998
176,176,Chuck Daly,ORL,1,13,82,41,41,82,41,41,1025,605,420,0.59,,,,,,,122.0,74.0,48.0,1997,,1988-1998
177,177,Larry Brown,PHI,1,19,82,31,51,82,31,51,1522,884,638,0.581,,,,,,,125.0,61.0,64.0,1997,,1988-1998
179,179,Mike Dunleavy,POR,1,7,82,46,36,82,46,36,574,254,320,0.443,4.0,1.0,3.0,4.0,1.0,3.0,27.0,14.0,13.0,1997,0.25,1988-1998
180,180,Eddie Jordan,SAC,2,2,82,27,55,97,33,64,97,33,64,0.34,,,,,,,,,,1997,,1988-1998
181,181,Gregg Popovich,SAS,2,2,82,56,26,146,73,73,146,73,73,0.5,9.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,5.0,1997,0.4444444444444444,1988-1998
182,182,George Karl,OKC,7,11,82,61,21,534,384,150,829,503,326,0.607,10.0,4.0,6.0,80.0,40.0,40.0,94.0,45.0,49.0,1997,0.4,1988-1998
185,185,Jerry Sloan,UTA,10,13,82,62,20,803,545,258,1018,639,379,0.628,20.0,13.0,7.0,117.0,63.0,54.0,123.0,65.0,58.0,1997,0.65,1988-1998
186,186,Brian Hill,MEM,1,5,82,19,63,82,19,63,377,210,167,0.557,,,,,,,36.0,18.0,18.0,1997,,1988-1998
187,187,Bernie Bickerstaff,WAS,2,9,82,42,40,117,64,53,654,325,329,0.4970000000000001,,,,3.0,0.0,3.0,33.0,12.0,21.0,1997,,1988-1998
188,188,Richie Guerin,ATL,5,5,82,48,34,372,207,165,372,207,165,0.556,11.0,5.0,6.0,40.0,19.0,21.0,40.0,19.0,21.0,1968,0.45454545454545453,1959-69
189,189,Gene Shue,WAS,3,3,82,57,25,220,109,111,220,109,111,0.495,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,1968,0.0,1959-69
190,190,Bill Russell,BOS,3,3,82,48,34,245,162,83,245,162,83,0.6609999999999999,18.0,12.0,6.0,46.0,28.0,18.0,46.0,28.0,18.0,1968,0.6666666666666666,1959-69
191,191,Dick Motta,CHI,1,1,82,33,49,82,33,49,82,33,49,0.402,,,,,,,,,,1968,,1959-69
194,194,Paul Seymour,DET,1,8,60,22,38,60,22,38,512,271,241,0.529,,,,,,,35.0,14.0,21.0,1968,,1959-69
195,195,Butch van Breda Kolff,LAL,2,2,82,55,27,164,107,57,164,107,57,0.652,18.0,11.0,7.0,33.0,21.0,12.0,33.0,21.0,12.0,1968,0.6111111111111112,1959-69
196,196,Larry Costello,MIL,1,1,82,27,55,82,27,55,82,27,55,0.329,,,,,,,,,,1968,,1959-69
197,197,Red Holzman,NYK,2,6,82,54,28,126,82,44,329,165,164,0.502,10.0,6.0,4.0,16.0,8.0,8.0,24.0,12.0,12.0,1968,0.6,1959-69
198,198,Jack Ramsay,PHI,1,1,82,55,27,82,55,27,82,55,27,0.6709999999999999,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,1968,0.2,1959-69
200,200,Jack McMahon,HOU,2,7,82,37,45,164,52,112,523,251,272,0.48,6.0,2.0,4.0,6.0,2.0,4.0,29.0,10.0,19.0,1968,0.3333333333333333,1959-69
204,204,Chris Ford,BOS,3,3,82,48,34,246,155,91,246,155,91,0.63,4.0,1.0,3.0,25.0,12.0,13.0,25.0,12.0,13.0,1992,0.25,1988-1998
206,206,Phil Jackson,CHI,4,4,82,57,25,328,240,88,328,240,88,0.732,19.0,15.0,4.0,74.0,55.0,19.0,74.0,55.0,19.0,1992,0.7894736842105263,1988-1998
207,207,Lenny Wilkens,CLE,7,20,82,54,28,574,316,258,1618,869,749,0.537,9.0,3.0,6.0,41.0,18.0,23.0,110.0,55.0,55.0,1992,0.3333333333333333,1988-1998
212,212,Don Nelson,GSW,5,16,82,34,48,410,213,197,1294,753,541,0.5820000000000001,,,,21.0,9.0,12.0,109.0,51.0,58.0,1992,,1988-1998
213,213,Rudy Tomjanovich,HOU,2,2,82,55,27,112,71,41,112,71,41,0.634,12.0,6.0,6.0,12.0,6.0,6.0,12.0,6.0,6.0,1992,0.5,1988-1998
214,214,Bob Hill,IND,3,4,82,41,41,221,113,108,287,133,154,0.463,4.0,1.0,3.0,12.0,3.0,9.0,12.0,3.0,9.0,1992,0.25,1988-1998
