,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Pre-draft Team,Real_value,Height CM,Weight KG,Last Season
0,Jayson Tatum,Boston Celtics,East,"Feb 10, 2020",SF,6'8,208,21,2017,2,2019-2020,2020,Duke,0.5,203,94,1
1,Nikola Jokic,Denver Nuggets,West,"Feb 10, 2020",C,7'0,250,25,2014,4,2019-2020,2020,KK Mega Bemax (Serbia),0.5,213,113,1
2,Jaylen Brown,Boston Celtics,East,"Feb 3, 2020",SF,6'7,220,23,2016,3,2019-2020,2020,California,0.5,201,99,1
3,Damian Lillard,Portland Trail Blazers,West,"Feb 3, 2020",G,6'3,195,29,2012,7,2019-2020,2020,Weber State,0.5,190,88,1
4,Pascal Siakam,Toronto Raptors,East,"Jan 27, 2020",F,6'9,230,25,2016,3,2019-2020,2020,New Mexico State,0.5,206,104,1
5,Damian Lillard,Portland Trail Blazers,West,"Jan 27, 2020",G,6'3,195,29,2012,7,2019-2020,2020,Weber State,0.5,190,88,1
6,Ben Simmons,Philadelphia Sixers,East,"Jan 20, 2020",PF,6'10,230,23,2016,3,2019-2020,2020,LSU,0.5,208,104,1
7,Kawhi Leonard,Los Angeles Clippers,West,"Jan 20, 2020",F,6'7,230,28,2011,8,2019-2020,2020,San Diego State,0.5,201,104,1
8,Josh Richardson,Philadelphia Sixers,East,"Jan 13, 2020",G,6'6,200,26,2015,4,2019-2020,2020,Tennessee,0.5,198,90,1
9,DeMar DeRozan,San Antonio Spurs,West,"Jan 13, 2020",GF,6'7,220,30,2009,10,2019-2020,2020,USC,0.5,201,99,1
10,Giannis Antetokounmpo,Milwaukee Bucks,East,"Jan 6, 2020",F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
11,LeBron James,Los Angeles Lakers,West,"Jan 6, 2020",F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
12,Jaylen Brown,Boston Celtics,East,"Dec 30, 2019",SF,6'7,220,23,2016,3,2019-2020,2020,California,0.5,201,99,1
13,Brandon Ingram,New Orleans Pelicans,West,"Dec 30, 2019",SF,6'9,190,22,2016,3,2019-2020,2020,Duke,0.5,206,86,1
14,Kyle Lowry,Toronto Raptors,East,"Dec 23, 2019",PG,6'1,196,33,2006,13,2019-2020,2020,Villanova,0.5,185,88,1
15,Dennis Schroder,Oklahoma City Thunder,West,"Dec 23, 2019",PG,6'1,172,26,2013,6,2019-2020,2020,Basketball Lowen Braunschweig (Germany),0.5,185,78,1
16,Bam Adebayo,Miami Heat,East,"Dec 16, 2019",C,6'10,255,22,2017,2,2019-2020,2020,Kentucky,0.5,208,115,1
17,LeBron James,Los Angeles Lakers,West,"Dec 16, 2019",F,6'8,250,35,2003,16,2019-2020,2020,St. Vincent St. Mary High School (Ohio),0.5,203,113,1
18,Jimmy Butler,Miami Heat,East,"Dec 9, 2019",GF,6'8,232,30,2011,8,2019-2020,2020,Marquette,0.5,203,105,1
19,Anthony Davis,Los Angeles Lakers,West,"Dec 9, 2019",PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
20,Giannis Antetokounmpo,Milwaukee Bucks,East,"Dec 2, 2019",F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
21,Carmelo Anthony,Portland Trail Blazers,West,"Dec 2, 2019",F,6'8,240,35,2003,16,2019-2020,2020,Syracuse,0.5,203,108,1
22,Spencer Dinwiddie,Brooklyn Nets,East,"Nov 25, 2019",PG,6'6,210,26,2014,5,2019-2020,2020,Colorado,0.5,198,95,1
23,Luka Doncic,Dallas Mavericks,West,"Nov 25, 2019",SF,6'7,218,21,2018,1,2019-2020,2020,Real Madrid (Spain),0.5,201,98,1
24,Nikola Vucevic,Orlando Magic,East,"Nov 18, 2019",PF,7'0,260,29,2011,8,2019-2020,2020,USC,0.5,213,118,1
25,James Harden,Houston Rockets,West,"Nov 18, 2019",SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
26,Pascal Siakam,Toronto Raptors,East,"Nov 11, 2019",F,6'9,230,25,2016,3,2019-2020,2020,New Mexico State,0.5,206,104,1
27,James Harden,Houston Rockets,West,"Nov 11, 2019",SG,6'5,220,30,2009,10,2019-2020,2020,Arizona State,0.5,196,99,1
28,Giannis Antetokounmpo,Milwaukee Bucks,East,"Nov 4, 2019",F,6'11,242,25,2013,6,2019-2020,2020,Filathlitikos Div II Greece (Greece),0.5,211,109,1
29,Anthony Davis,Los Angeles Lakers,West,"Nov 4, 2019",PF,6'10,253,26,2012,7,2019-2020,2020,Kentucky,0.5,208,114,1
30,Trae Young,Atlanta Hawks,East,"Oct 28, 2019",PG,6'2,180,21,2018,1,2019-2020,2020,Oklahoma,0.5,188,81,1
31,Karl-Anthony Towns,Minnesota Timberwolves,West,"Oct 28, 2019",C,7'0,248,24,2015,4,2019-2020,2020,Kentucky,0.5,213,112,1
32,Kemba Walker,Charlotte Hornets,East,"Apr 8, 2019",G,6'1,184,28,2011,7,2018-2019,2019,Connecticut,0.5,185,83,0
33,Russell Westbrook,Oklahoma City Thunder,West,"Apr 8, 2019",G,6'3,200,30,2008,10,2018-2019,2019,UCLA,0.5,190,90,0
