,Year,Status,Team,PTS,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Finals_Games
0,1980,Runner Up,Sixers,104.166666666667,43.0,88.3333333333333,48.67924528301889,0.166666666666667,2.6666666666666696,6.25,18.0,24.0,75.0,9.5,27.6666666666667,37.1666666666667,31.0,9.33333333333333,10.0,15.166666666666698,22.5,2
1,1981,Runner Up,Rockets,86.6666666666667,33.8333333333333,89.3333333333333,37.873134328358205,0.5,1.8333333333333302,27.2727272727273,18.5,25.8333333333333,71.6129032258064,18.6666666666667,24.0,42.6666666666667,18.0,7.83333333333333,5.66666666666667,13.166666666666698,20.1666666666667,2
2,1982,Runner Up,Sixers,112.5,46.1666666666667,92.5,49.9099099099099,0.666666666666667,2.3333333333333304,28.571428571428598,19.5,27.8333333333333,70.059880239521,15.0,26.6666666666667,41.6666666666667,28.6666666666667,8.83333333333333,8.5,16.6666666666667,26.5,2
3,1983,Runner Up,Lakers,100.5,40.75,90.25,45.1523545706371,0.75,3.75,20.0,18.25,23.25,78.494623655914,15.25,27.5,42.75,24.5,9.0,7.25,20.0,30.0,0
4,1984,Runner Up,Lakers,117.42857142857099,46.71428571428571,90.7142857142857,51.496062992126,0.857142857142857,2.57142857142857,33.3333333333333,23.142857142857103,32.8571428571429,70.43478260869571,13.714285714285701,30.0,43.71428571428571,28.285714285714302,8.428571428571429,5.857142857142861,16.571428571428598,29.428571428571402,3
5,1985,Runner Up,Celtics,113.166666666667,43.8333333333333,92.0,47.6449275362319,2.1666666666666696,5.66666666666667,38.2352941176471,23.3333333333333,30.3333333333333,76.9230769230769,12.333333333333302,30.8333333333333,43.1666666666667,30.8333333333333,8.66666666666667,5.0,14.0,22.1666666666667,2
6,1986,Runner Up,Rockets,102.0,41.8333333333333,92.8333333333333,45.0628366247756,0.833333333333333,2.8333333333333304,29.411764705882398,17.5,24.6666666666667,70.94594594594591,18.5,27.0,45.5,27.5,9.0,6.66666666666667,14.333333333333302,22.1666666666667,2
7,1987,Runner Up,Celtics,111.0,43.6666666666667,86.1666666666667,50.676982591876204,2.3333333333333304,7.0,33.3333333333333,21.3333333333333,27.0,79.0123456790123,12.0,29.3333333333333,41.3333333333333,27.8333333333333,5.0,5.5,13.666666666666698,21.3333333333333,2
8,1988,Runner Up,Pistons,101.285714285714,38.5714285714286,81.0,47.619047619047606,1.28571428571429,4.42857142857143,29.0322580645161,22.857142857142897,29.714285714285698,76.9230769230769,13.5714285714286,30.0,43.571428571428605,23.285714285714302,6.857142857142861,4.85714285714286,11.714285714285701,26.714285714285698,3
9,1989,Runner Up,Lakers,102.25,36.0,77.5,46.451612903225794,3.25,10.75,30.2325581395349,27.0,36.0,75.0,11.75,24.5,36.25,23.0,5.5,4.0,11.75,26.0,0
