,Team,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Status,Finals_Games
1,Los Angeles Lakers,39.0,87.7,0.444,11.3,33.0,0.342,17.7,22.8,0.774,9.8,32.5,42.3,23.2,8.2,3.7,15.7,21.4,106.9,2020,TBD,0
2,Toronto Raptors,37.9,88.5,0.429,13.0,38.5,0.337,17.7,23.0,0.768,11.2,35.1,46.3,25.6,7.0,5.3,16.8,20.0,106.5,2020,TBD,0
3,Boston Celtics,38.3,86.8,0.442,11.8,34.5,0.342,18.4,24.2,0.7609999999999999,10.2,34.0,44.3,22.2,7.0,5.6,15.3,20.6,106.8,2020,TBD,0
4,Utah Jazz,40.3,89.3,0.452,11.1,31.6,0.35100000000000003,16.1,20.9,0.769,9.6,33.0,42.6,21.2,7.8,4.6,12.0,20.6,107.9,2020,TBD,0
5,Oklahoma City Thunder,41.1,90.0,0.456,11.4,33.2,0.344,14.8,18.6,0.795,10.4,34.0,44.4,23.1,6.7,4.1,14.0,22.8,108.3,2020,TBD,0
6,Orlando Magic,40.1,86.6,0.46299999999999997,12.4,33.4,0.37,14.8,19.1,0.772,9.1,36.0,45.1,24.5,7.0,4.8,14.8,19.2,107.3,2020,TBD,0
7,Milwaukee Bucks,38.7,93.8,0.413,13.7,38.6,0.35600000000000004,16.2,20.6,0.784,9.4,36.3,45.7,23.8,7.4,4.6,14.3,21.3,107.4,2020,TBD,0
8,Philadelphia 76ers,39.6,85.6,0.462,10.2,28.9,0.354,18.0,24.3,0.742,8.6,33.3,41.9,22.7,7.0,3.9,14.0,20.3,107.4,2020,TBD,0
9,Indiana Pacers,39.5,88.1,0.44799999999999995,11.4,33.2,0.345,17.0,21.6,0.789,10.1,34.6,44.7,23.2,6.8,4.5,14.4,18.6,107.4,2020,TBD,0
10,Denver Nuggets,39.6,86.2,0.45899999999999996,11.6,33.6,0.34600000000000003,16.7,22.1,0.7559999999999999,10.0,32.8,42.8,25.0,7.1,4.5,14.3,20.0,107.4,2020,TBD,0
11,Los Angeles Clippers,39.4,90.3,0.436,12.0,35.2,0.341,18.9,24.8,0.762,10.9,34.6,45.5,23.6,7.9,4.9,14.2,22.8,109.7,2020,TBD,0
12,Miami Heat,38.9,87.0,0.447,13.1,38.0,0.34600000000000003,18.1,23.3,0.7759999999999999,9.2,33.0,42.2,24.7,7.5,4.2,13.7,21.5,108.9,2020,TBD,0
13,Sacramento Kings,39.9,85.3,0.46799999999999997,12.3,34.6,0.355,18.9,23.8,0.7929999999999999,9.0,34.5,43.5,24.5,7.8,4.3,15.1,19.3,110.9,2020,TBD,0
14,Charlotte Hornets,41.7,87.5,0.47600000000000003,12.4,35.1,0.35200000000000004,14.0,18.4,0.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6,2020,TBD,0
15,Brooklyn Nets,41.2,93.3,0.442,12.1,34.6,0.35,16.9,22.1,0.763,10.8,35.2,46.0,22.4,7.8,5.3,12.6,20.9,111.4,2020,TBD,0
16,Chicago Bulls,39.5,82.5,0.479,11.2,31.6,0.353,19.7,26.0,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9,2020,TBD,0
17,San Antonio Spurs,42.2,89.9,0.469,13.1,34.9,0.376,17.4,22.7,0.77,9.4,36.3,45.7,25.7,6.7,4.4,13.0,19.7,114.9,2020,TBD,0
