,Year,League,Champion,RunnerUp,FinalsMVP,Points,Rebounds,Assists
0,2019,NBA,Toronto Raptors,Golden State Warriors,K. Leonard,K. Leonard (732),D. Green (223),D. Green (187)
1,2018,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (748),D. Green (222),L. James (198)
2,2017,NBA,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James (591),K. Love (191),L. James (141)
3,2016,NBA,Cleveland Cavaliers,Golden State Warriors,L. James,K. Thompson (582),D. Green (228),R. Westbrook (198)
4,2015,NBA,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,L. James (601),D. Howard (238),L. James (169)
5,2014,NBA,San Antonio Spurs,Miami Heat,K. Leonard,K. Durant (563),T. Duncan (211),R. Westbrook (153)
6,2013,NBA,Miami Heat,San Antonio Spurs,L. James,L. James (596),T. Duncan (214),L. James (152)
7,2012,NBA,Miami Heat,Oklahoma City Thunder,L. James,L. James (697),L. James (224),R. Rondo (227)
8,2011,NBA,Dallas Mavericks,Miami Heat,D. Nowitzki,D. Nowitzki (582),T. Chandler (193),J. Kidd (153)
9,2010,NBA,Los Angeles Lakers,Boston Celtics,K. Bryant,K. Bryant (671),P. Gasol (255),R. Rondo (223)
10,2009,NBA,Los Angeles Lakers,Orlando Magic,K. Bryant,K. Bryant (695),D. Howard (353),R. Rondo (137)
11,2008,NBA,Boston Celtics,Los Angeles Lakers,P. Pierce,K. Bryant (633),K. Garnett (274),R. Rondo (172)
12,2007,NBA,San Antonio Spurs,Cleveland Cavaliers,T. Parker,L. James (501),T. Duncan (229),L. James (159)
13,2006,NBA,Miami Heat,Dallas Mavericks,D. Wade,D. Wade (654),D. Nowitzki (268),S. Nash (204)
14,2005,NBA,San Antonio Spurs,Detroit Pistons,T. Duncan,T. Duncan (542),T. Duncan (286),S. Nash (170)
15,2004,NBA,Detroit Pistons,Los Angeles Lakers,C. Billups,K. Bryant (539),B. Wallace (328),C. Billups (136)
16,2003,NBA,San Antonio Spurs,Brooklyn Nets,T. Duncan,T. Duncan (593),T. Duncan (369),J. Kidd (163)
17,2002,NBA,Los Angeles Lakers,Brooklyn Nets,S. O'Neal,S. O'Neal (541),S. O'Neal (239),J. Kidd (182)
18,2001,NBA,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,A. Iverson (723),D. Mutombo (316),A. Iverson (134)
19,2000,NBA,Los Angeles Lakers,Indiana Pacers,S. O'Neal,S. O'Neal (707),S. O'Neal (355),M. Jackson (178)
20,1999,NBA,San Antonio Spurs,New York Knicks,T. Duncan,L. Sprewell (407),T. Duncan (195),A. Johnson (126)
21,1998,NBA,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan (680),D. Rodman (248),J. Stockton (155)
22,1997,NBA,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan (590),K. Malone (228),J. Stockton (191)
23,1996,NBA,Chicago Bulls,Oklahoma City Thunder,M. Jordan,M. Jordan (552),D. Rodman (247),J. Stockton (195)
24,1995,NBA,Houston Rockets,Orlando Magic,H. Olajuwon,H. Olajuwon (725),S. O'Neal (250),A. Hardaway (162)
25,1994,NBA,Houston Rockets,New York Knicks,H. Olajuwon,H. Olajuwon (664),P. Ewing (293),J. Stockton (157)
26,1993,NBA,Chicago Bulls,Phoenix Suns,M. Jordan,M. Jordan (666),C. Barkley (326),K. Johnson (182)
27,1992,NBA,Chicago Bulls,Portland Trail Blazers,M. Jordan,M. Jordan (759),H. Grant (194),J. Stockton (217)
28,1991,NBA,Chicago Bulls,Los Angeles Lakers,M. Jordan,M. Jordan (529),D. Rodman (177),M. Johnson (240)
29,1990,NBA,Detroit Pistons,Portland Trail Blazers,I. Thomas,M. Jordan (587),B. Laimbeer (211),K. Johnson (170)
30,1989,NBA,Detroit Pistons,Los Angeles Lakers,J. Dumars,M. Jordan (591),D. Rodman (170),M. Johnson (165)
31,1988,NBA,Los Angeles Lakers,Detroit Pistons,J. Worthy,J. Worthy (506),B. Laimbeer (221),M. Johnson (303)
32,1987,NBA,Los Angeles Lakers,Boston Celtics,M. Johnson,L. Bird (622),L. Bird (231),M. Johnson (219)
33,1986,NBA,Boston Celtics,Houston Rockets,L. Bird,H. Olajuwon (537),H. Olajuwon (236),M. Johnson (211)
34,1985,NBA,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,L. Bird (520),R. Parish (219),M. Johnson (289)
35,1984,NBA,Boston Celtics,Los Angeles Lakers,L. Bird,L. Bird (632),L. Bird (252),M. Johnson (284)
36,1983,NBA,Philadelphia 76ers,Los Angeles Lakers,M. Malone,K. Abdul-Jabbar (406),M. Malone (206),M. Johnson (192)
37,1982,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,J. Erving (461),C. Jones (189),M. Cheeks (172)
38,1981,NBA,Boston Celtics,Houston Rockets,C. Maxwell,M. Malone (562),M. Malone (305),M. Cheeks (116)
39,1980,NBA,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,K. Abdul-Jabbar (479),C. Jones (185),M. Johnson (151)
40,1979,NBA,Oklahoma City Thunder,Washington Wizards,D. Johnson,G. Williams (454),E. Hayes (266),T. Henderson (107)
41,1978,NBA,Washington Wizards,Oklahoma City Thunder,W. Unseld,E. Hayes (457),M. Webster (289),T. Henderson (106)
42,1977,NBA,Portland Trail Blazers,Philadelphia 76ers,B. Walton,J. Erving (518),B. Walton (288),B. Walton (104)
43,1976,NBA,Boston Celtics,Phoenix Suns,J. White,J. White (408),D. Cowens (296),A. Adams (98)
44,1976,ABA,Brooklyn Nets,Denver Nuggets,,J. Erving (451),J. Erving (164),L. Dampier (77)
45,1975,NBA,Golden State Warriors,Washington Wizards,R. Barry,R. Barry (479),W. Unseld (276),K. Porter (124)
46,1975,ABA,Kentucky Colonels,Indiana Pacers,,G. McGinnis (581),G. McGinnis (286),G. McGinnis (148)
47,1974,NBA,Boston Celtics,Milwaukee Bucks,J. Havlicek,K. Abdul-Jabbar (515),K. Abdul-Jabbar (253),O. Robertson (149)
48,1974,ABA,Brooklyn Nets,Utah Stars,,W. Wise (420),G. Govan (246),R. Boone (109)
49,1973,NBA,New York Knicks,Los Angeles Lakers,W. Reed,J. West (401),W. Chamberlain (383),J. West (132)
50,1973,ABA,Indiana Pacers,Kentucky Colonels,,D. Issel (521),A. Gilmore (260),F. Lewis (91)
51,1972,NBA,Los Angeles Lakers,New York Knicks,W. Chamberlain,W. Frazier (388),W. Chamberlain (315),J. West (134)
52,1972,ABA,Indiana Pacers,Brooklyn Nets,,R. Barry (554),M. Daniels (302),F. Lewis (87)
53,1971,NBA,Milwaukee Bucks,Washington Wizards,K. Abdul-Jabbar,E. Monroe (397),W. Unseld (339),O. Robertson (124)
54,1971,ABA,Utah Stars,Kentucky Colonels,,D. Issel (534),Z. Beaty (263),L. Dampier (179)
55,1970,NBA,New York Knicks,Los Angeles Lakers,W. Reed,J. West (562),W. Chamberlain (399),W. Frazier (156)
56,1970,ABA,Indiana Pacers,Los Angeles Stars,,S. Haywood (440),M. Daniels (265),M. Calvin (101)
57,1969,NBA,Boston Celtics,Los Angeles Lakers,J. West,J. West (556),W. Chamberlain (444),J. West (135)
58,1969,ABA,Oakland Oaks,Indiana Pacers,,W. Jabali (460),M. Daniels (237),L. Brown (87)
59,1968,NBA,Boston Celtics,Los Angeles Lakers,,J. Havlicek (493),B. Russell (434),J. Havlicek (142)
60,1968,ABA,Pittsburgh Pipers,New Orleans Buccaneers,,C. Hawkins (419),T. Washington (261),L. Brown (129)
61,1967,NBA,Philadelphia 76ers,Golden State Warriors,,R. Barry (521),W. Chamberlain (437),W. Chamberlain (135)
62,1966,NBA,Boston Celtics,Los Angeles Lakers,,J. West (479),B. Russell (428),B. Russell (85)
63,1965,NBA,Boston Celtics,Los Angeles Lakers,,J. West (447),B. Russell (302),B. Russell (76)
64,1964,NBA,Boston Celtics,Golden State Warriors,,W. Chamberlain (416),W. Chamberlain (302),G. Rodgers (90)
65,1963,NBA,Boston Celtics,Los Angeles Lakers,,E. Baylor (424),B. Russell (326),B. Cousy (116)
66,1962,NBA,Boston Celtics,Los Angeles Lakers,,E. Baylor (502),B. Russell (370),B. Cousy (123)
67,1961,NBA,Boston Celtics,Atlanta Hawks,,E. Baylor (457),B. Russell (299),B. Cousy (91)
68,1960,NBA,Boston Celtics,Atlanta Hawks,,B. Pettit (365),B. Russell (336),B. Cousy (116)
69,1959,NBA,Boston Celtics,Los Angeles Lakers,,E. Baylor (331),B. Russell (305),B. Cousy (119)
70,1958,NBA,Atlanta Hawks,Boston Celtics,,C. Hagan (305),B. Russell (221),B. Cousy (82)
71,1957,NBA,Boston Celtics,Atlanta Hawks,,B. Pettit (298),B. Russell (244),B. Cousy (93)
72,1956,NBA,Philadelphia Warriors,Detroit Pistons,,P. Arizin (289),N. Johnston (143),G. King (60)
73,1955,NBA,Philadelphia 76rs,Detroit Pistons,,D. Schayes (209),D. Schayes (141),A. Phillip (78)
74,1954,NBA,Los Angeles Lakers,Philadelphia 76rs,,G. Mikan (252),G. Mikan (171),S. Martin (60)
75,1953,NBA,Los Angeles Lakers,New York Knicks,,G. Mikan (238),G. Mikan (185),D. McGuire (70)
76,1952,NBA,Los Angeles Lakers,New York Knicks,,G. Mikan (307),G. Mikan (207),D. McGuire (90)
77,1951,NBA,Sacramento Kings,New York Knicks,,A. Risen (273),A. Risen (196),D. McGuire (78)
78,1950,NBA,Los Angeles Lakers,Philadelphia 76rs,,G. Mikan (376),,J. Pollard (56)
79,1949,BAA,Los Angeles Lakers,Washington Capitols,,G. Mikan (303),,J. Pollard (39)
80,1948,BAA,Washington Wizards,Philadelphia Warriors,,J. Fulks (282),,H. Dallmar (37)
81,1947,BAA,Philadelphia Warriors,Chicago Stags,,J. Fulks (222),,H. Dallmar (16)
