,Team,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Status,Finals_Games
1,Dallas Mavericks,41.6,90.0,0.462,15.3,41.5,0.369,17.9,23.1,0.773,10.6,36.4,47.0,24.5,6.3,5.0,12.8,19.0,116.4,2020,TBD,0
2,Milwaukee Bucks,43.5,91.2,0.47700000000000004,13.7,38.6,0.35600000000000004,17.8,24.0,0.742,9.5,42.2,51.7,25.9,7.4,6.0,14.9,19.2,118.6,2020,TBD,0
3,Houston Rockets,41.1,90.7,0.45399999999999996,15.4,44.3,0.348,20.5,26.0,0.787,10.4,34.6,44.9,21.5,8.5,5.1,14.7,21.6,118.1,2020,TBD,0
4,Portland Trail Blazers,41.9,90.9,0.461,12.6,33.8,0.37200000000000005,17.3,21.7,0.7979999999999999,10.1,35.4,45.5,20.2,6.1,6.2,13.0,21.4,113.6,2020,TBD,0
5,Atlanta Hawks,40.6,90.6,0.449,12.0,36.1,0.33299999999999996,18.5,23.4,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,2020,TBD,0
6,New Orleans Pelicans,42.6,92.2,0.462,14.0,37.6,0.37200000000000005,16.9,23.2,0.7290000000000001,11.2,35.8,47.0,27.0,7.6,5.1,16.2,21.0,116.2,2020,TBD,0
7,Los Angeles Clippers,41.6,89.7,0.46399999999999997,12.2,33.2,0.366,20.8,26.2,0.792,11.0,37.0,48.0,23.8,7.1,5.0,14.8,22.0,116.2,2020,TBD,0
8,Washington Wizards,41.9,91.0,0.461,12.3,33.1,0.37200000000000005,19.5,24.8,0.787,10.1,31.6,41.7,25.3,8.1,4.3,14.1,22.6,115.6,2020,TBD,0
9,Memphis Grizzlies,42.8,91.0,0.47,10.9,31.1,0.35200000000000004,16.2,21.3,0.7609999999999999,10.4,36.3,46.7,27.0,8.0,5.6,15.3,20.8,112.6,2020,TBD,0
10,Phoenix Suns,40.8,87.8,0.46399999999999997,11.2,31.7,0.353,19.8,24.0,0.826,9.8,33.3,43.1,27.2,7.8,4.0,15.1,22.1,112.6,2020,TBD,0
11,Miami Heat,39.6,84.4,0.47,13.4,34.8,0.38299999999999995,19.5,25.1,0.778,8.5,36.0,44.5,26.0,7.4,4.5,14.9,20.4,112.2,2020,TBD,0
12,Minnesota Timberwolves,40.4,91.6,0.441,13.3,39.7,0.336,19.1,25.4,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,2020,TBD,0
13,Boston Celtics,41.2,89.6,0.45899999999999996,12.4,34.2,0.363,18.3,22.8,0.8009999999999999,10.7,35.3,46.0,22.8,8.3,5.6,13.6,21.4,113.0,2020,TBD,0
14,Toronto Raptors,40.6,88.5,0.45799999999999996,13.8,37.0,0.371,18.1,22.6,0.8,9.7,35.5,45.2,25.4,8.8,4.9,14.4,21.5,113.0,2020,TBD,0
15,Los Angeles Lakers,42.9,88.6,0.485,11.2,31.4,0.355,17.3,23.7,0.73,10.6,35.5,46.1,25.9,8.6,6.8,15.1,20.6,114.3,2020,TBD,0
16,Denver Nuggets,41.8,88.9,0.47100000000000003,10.9,30.4,0.358,15.9,20.5,0.775,10.8,33.5,44.3,26.5,8.1,4.6,13.7,20.0,110.4,2020,TBD,0
